time,open,high,low,close,tick_volume,spread,real_volume
2025-11-03 19:50:00,4006.54,4007.35,4005.56,4006.72,653,18,0
2025-11-03 19:55:00,4006.75,4007.17,4006.14,4006.14,556,18,0
2025-11-03 20:00:00,4006.13,4006.85,4003.99,4004.49,717,18,0
2025-11-03 20:05:00,4004.59,4006.62,4003.54,4004.51,864,18,0
2025-11-03 20:10:00,4004.54,4004.77,4001.73,4002.92,969,18,0
2025-11-03 20:15:00,4003.02,4003.88,4001.18,4001.58,921,18,0
2025-11-03 20:20:00,4001.6,4002.62,3999.5,4001.59,689,18,0
2025-11-03 20:25:00,4001.64,4002.72,3999.62,4001.33,1108,18,0
2025-11-03 20:30:00,4001.34,4009.27,4001.1,4009.21,954,18,0
2025-11-03 20:35:00,4009.13,4009.45,4006.66,4007.51,678,18,0
2025-11-03 20:40:00,4007.59,4009.55,4007.2,4008.31,622,18,0
2025-11-03 20:45:00,4008.48,4008.52,4004.2,4005.16,664,18,0
2025-11-03 20:50:00,4005.09,4005.89,4003.52,4005.21,819,18,0
2025-11-03 20:55:00,4005.23,4007.42,4004.61,4006.39,712,18,0
2025-11-03 21:00:00,4006.31,4008.08,3996.2,3997.85,1113,18,0
2025-11-03 21:05:00,3997.84,4002.6,3995.35,4000.43,1231,18,0
2025-11-03 21:10:00,4000.45,4003.82,4000.16,4003.38,882,18,0
2025-11-03 21:15:00,4003.39,4005.84,4001.71,4002.67,1087,18,0
2025-11-03 21:20:00,4002.68,4005.98,4002.68,4004.42,884,18,0
2025-11-03 21:25:00,4004.44,4005.19,4003.26,4004.17,729,18,0
2025-11-03 21:30:00,4004.16,4005.01,4002.07,4002.52,802,18,0
2025-11-03 21:35:00,4002.47,4002.91,4000.8,4002.78,739,18,0
2025-11-03 21:40:00,4002.7,4003.09,4000.6,4000.63,596,18,0
2025-11-03 21:45:00,4000.6,4003.33,3999.74,4003.33,585,18,0
2025-11-03 21:50:00,4003.39,4007.58,4002.42,4007.51,748,18,0
2025-11-03 21:55:00,4007.52,4007.61,4003.38,4004.78,785,18,0
2025-11-03 22:00:00,4004.69,4010.38,4004.69,4010.38,1110,18,0
2025-11-03 22:05:00,4010.39,4012.29,4007.88,4008.45,1354,18,0
2025-11-03 22:10:00,4008.44,4010.23,4008.02,4010.23,834,18,0
2025-11-03 22:15:00,4010.23,4012.5,4010.0,4011.42,2016,18,0
2025-11-03 22:20:00,4011.29,4014.92,4010.95,4011.16,1097,18,0
2025-11-03 22:25:00,4011.14,4012.15,4009.48,4011.48,1004,18,0
2025-11-03 22:30:00,4011.48,4012.09,4009.74,4009.9,792,18,0
2025-11-03 22:35:00,4009.87,4010.2,4009.12,4009.45,704,18,0
2025-11-03 22:40:00,4009.43,4010.27,4007.11,4009.15,1202,18,0
2025-11-03 22:45:00,4009.21,4009.79,4007.95,4008.94,533,18,0
2025-11-03 22:50:00,4008.95,4012.09,4008.95,4011.57,752,18,0
2025-11-03 22:55:00,4011.54,4011.98,4009.17,4010.23,1031,18,0
2025-11-03 23:00:00,4010.25,4010.25,4007.57,4009.59,557,18,0
2025-11-03 23:05:00,4009.57,4009.93,4005.29,4006.32,459,18,0
2025-11-03 23:10:00,4006.31,4006.47,4004.47,4004.87,419,18,0
2025-11-03 23:15:00,4004.85,4005.72,4004.25,4004.34,313,18,0
2025-11-03 23:20:00,4004.35,4004.46,4001.57,4004.02,618,18,0
2025-11-03 23:25:00,4004.03,4004.03,4000.98,4001.83,443,18,0
2025-11-03 23:30:00,4001.84,4002.55,4000.26,4002.24,502,18,0
2025-11-03 23:35:00,4002.08,4002.84,4001.46,4002.82,227,18,0
2025-11-03 23:40:00,4002.82,4002.82,4001.2,4001.2,152,18,0
2025-11-03 23:45:00,4001.2,4002.0,4000.74,4001.59,209,18,0
2025-11-03 23:50:00,4001.52,4001.88,4001.32,4001.71,166,18,0
2025-11-03 23:55:00,4001.63,4002.15,3999.86,4000.29,104,18,0
2025-11-04 01:00:00,4002.18,4005.82,4001.21,4004.93,493,18,0
2025-11-04 01:05:00,4004.9,4004.9,3996.1,3998.34,680,18,0
2025-11-04 01:10:00,3998.29,3998.72,3985.15,3988.48,1036,18,0
2025-11-04 01:15:00,3988.45,3992.5,3988.13,3991.61,797,18,0
2025-11-04 01:20:00,3991.61,3995.54,3990.34,3995.01,671,18,0
2025-11-04 01:25:00,3994.95,3997.27,3993.13,3995.81,594,18,0
2025-11-04 01:30:00,3995.81,3999.53,3994.38,3998.07,993,18,0
2025-11-04 01:35:00,3998.01,3999.74,3995.84,3996.26,723,18,0
2025-11-04 01:40:00,3996.27,3997.87,3995.09,3997.77,574,18,0
2025-11-04 01:45:00,3997.77,3999.3,3992.93,3996.92,876,18,0
2025-11-04 01:50:00,3996.36,3998.63,3995.85,3997.94,322,18,0
2025-11-04 01:55:00,3998.11,3999.19,3997.21,3997.24,298,18,0
2025-11-04 02:00:00,3997.3,3998.75,3990.91,3991.62,714,18,0
2025-11-04 02:05:00,3991.63,3997.58,3990.35,3996.78,880,18,0
2025-11-04 02:10:00,3996.75,3998.12,3994.03,3994.72,690,18,0
2025-11-04 02:15:00,3994.73,3999.06,3994.48,3996.67,787,18,0
2025-11-04 02:20:00,3996.68,3997.71,3996.08,3996.73,622,18,0
2025-11-04 02:25:00,3996.63,3996.95,3992.43,3993.24,507,18,0
2025-11-04 02:30:00,3993.22,3994.03,3990.44,3991.72,656,18,0
2025-11-04 02:35:00,3991.73,3991.82,3983.62,3984.38,1118,18,0
2025-11-04 02:40:00,3984.58,3984.72,3978.52,3979.98,1254,18,0
2025-11-04 02:45:00,3980.01,3989.16,3979.78,3988.85,1113,18,0
2025-11-04 02:50:00,3988.8,3988.85,3984.94,3985.77,1175,18,0
2025-11-04 02:55:00,3985.79,3988.45,3985.37,3986.44,874,18,0
2025-11-04 03:00:00,3986.45,3992.78,3984.86,3991.36,1440,18,0
2025-11-04 03:05:00,3991.24,3992.07,3986.3,3987.16,1143,18,0
2025-11-04 03:10:00,3987.18,3991.63,3986.18,3990.36,1010,18,0
2025-11-04 03:15:00,3990.2,3994.56,3989.49,3990.1,1011,18,0
2025-11-04 03:20:00,3990.06,3990.96,3985.02,3986.76,1043,18,0
2025-11-04 03:25:00,3986.71,3986.82,3980.92,3985.31,1094,18,0
2025-11-04 03:30:00,3985.34,3985.34,3979.56,3983.62,1181,18,0
2025-11-04 03:35:00,3983.61,3986.3,3979.57,3986.19,1287,18,0
2025-11-04 03:40:00,3986.22,3987.9,3985.33,3987.17,833,18,0
2025-11-04 03:45:00,3987.19,3987.74,3984.72,3986.06,826,18,0
2025-11-04 03:50:00,3986.03,3990.29,3985.77,3988.98,868,18,0
2025-11-04 03:55:00,3988.99,3989.99,3986.92,3987.22,854,18,0
